"package"	"version"	"date"	"source"
"assertthat"	"0.1"	"2013-12-06"	"CRAN (R 3.2.1)"
"codetools"	"0.2-14"	"2015-07-15"	"CRAN (R 3.2.2)"
"curl"	"0.9.3"	"2015-08-25"	"CRAN (R 3.2.2)"
"devtools"	"1.8.0"	"2015-05-09"	"CRAN (R 3.2.2)"
"digest"	"0.6.8"	"2014-12-31"	"CRAN (R 3.2.2)"
"doParallel"	"1.0.8"	"2014-02-28"	"CRAN (R 3.2.2)"
"dplyr"	"0.2"	"2014-05-21"	"CRAN (R 3.1.1)"
"foreach"	"1.4.2"	"2014-04-11"	"CRAN (R 3.2.2)"
"git2r"	"0.11.0"	"2015-08-12"	"CRAN (R 3.2.2)"
"iterators"	"1.0.7"	"2014-04-11"	"CRAN (R 3.2.2)"
"memoise"	"0.2.1"	"2014-04-22"	"CRAN (R 3.2.2)"
"plyr"	"1.8.3"	"2015-06-12"	"CRAN (R 3.2.2)"
"Rcpp"	"0.12.0"	"2015-07-25"	"CRAN (R 3.2.2)"
"rversions"	"1.0.2"	"2015-07-13"	"CRAN (R 3.2.2)"
"xml2"	"0.1.2"	"2015-09-01"	"CRAN (R 3.2.2)"
